epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,9646.2,1.08823,0.96583,1.45323,0.83089,0.72627,0.77554,0.47015,1.48839,0.99652,1.98644,0.001882,0.001882,0.001882
84,9768.17,1.07939,0.95626,1.44525,0.84408,0.71359,0.77411,0.46984,1.48751,0.99745,1.9875,0.001783,0.001783,0.001783
85,9891.06,1.07412,0.95402,1.44031,0.84742,0.71524,0.7738,0.46931,1.48789,0.99807,1.98937,0.001684,0.001684,0.001684
86,10012.8,1.07601,0.94745,1.43824,0.84898,0.71576,0.77458,0.4686,1.48949,0.99791,1.99166,0.001585,0.001585,0.001585
87,10135.2,1.06054,0.94429,1.43054,0.84961,0.71608,0.77453,0.46736,1.49143,0.99974,1.99458,0.001486,0.001486,0.001486
88,10257.2,1.0674,0.94013,1.43702,0.84826,0.71503,0.77427,0.46692,1.492,1.00059,1.99688,0.001387,0.001387,0.001387
89,10380,1.05494,0.91985,1.42206,0.84855,0.71573,0.77441,0.46714,1.4936,0.99988,2.00043,0.001288,0.001288,0.001288
90,10492.7,1.03889,0.91078,1.41651,0.8486,0.71476,0.7739,0.46789,1.49515,0.99911,2.00331,0.001189,0.001189,0.001189
91,10614.8,0.97686,0.56022,1.48145,0.85207,0.7113,0.77326,0.46665,1.49694,1.00033,2.00582,0.00109,0.00109,0.00109
92,10738.6,0.94318,0.53177,1.45128,0.85045,0.71144,0.77196,0.46631,1.49835,1.00028,2.00738,0.000991,0.000991,0.000991
93,10862,0.92604,0.51917,1.43878,0.83613,0.72191,0.77221,0.46652,1.49935,1.00098,2.00894,0.000892,0.000892,0.000892
94,10985.2,0.91643,0.5073,1.42613,0.83814,0.72138,0.7718,0.46626,1.49975,1.00159,2.01009,0.000793,0.000793,0.000793
95,11108.2,0.90664,0.50216,1.41679,0.83553,0.72303,0.77151,0.46576,1.50062,1.0023,2.01252,0.000694,0.000694,0.000694
96,11231.7,0.89635,0.49402,1.40471,0.83448,0.72137,0.77143,0.46576,1.5026,1.00327,2.01614,0.000595,0.000595,0.000595
97,11355.5,0.88858,0.48987,1.39761,0.83367,0.72221,0.77131,0.46591,1.50343,1.00405,2.01825,0.000496,0.000496,0.000496
98,11460,0.87684,0.48308,1.38847,0.83251,0.72161,0.77087,0.46543,1.50457,1.00296,2.02076,0.000397,0.000397,0.000397
99,11580,0.87189,0.47313,1.38605,0.83448,0.71946,0.77114,0.46494,1.50593,1.00325,2.02396,0.000298,0.000298,0.000298
100,11705.2,0.86567,0.47227,1.38179,0.83453,0.71809,0.76988,0.46413,1.50676,1.00322,2.02623,0.000199,0.000199,0.000199
